new_tag60_unix_nanoseconds,tag60,new_tag75,new_bid_01_price,new_bid_02_price,new_bid_03_price,new_bid_04_price,new_bid_05_price,new_bid_06_price,new_bid_07_price,new_bid_08_price,new_bid_09_price,new_bid_10_price,new_bid_11_price,new_bid_01_qty,new_bid_02_qty,new_bid_03_qty,new_bid_04_qty,new_bid_05_qty,new_bid_06_qty,new_bid_07_qty,new_bid_08_qty,new_bid_09_qty,new_bid_10_qty,new_bid_11_qty,new_ask_01_price,new_ask_02_price,new_ask_03_price,new_ask_04_price,new_ask_05_price,new_ask_06_price,new_ask_07_price,new_ask_08_price,new_ask_09_price,new_ask_10_price,new_ask_11_price,new_ask_01_qty,new_ask_02_qty,new_ask_03_qty,new_ask_04_qty,new_ask_05_qty,new_ask_06_qty,new_ask_07_qty,new_ask_08_qty,new_ask_09_qty,new_ask_10_qty,new_ask_11_qty,old_tag60_unix_nanoseconds,old_tag75,old_bid_01_price,old_bid_02_price,old_bid_03_price,old_bid_04_price,old_bid_05_price,old_bid_06_price,old_bid_07_price,old_bid_08_price,old_bid_09_price,old_bid_10_price,old_bid_11_price,old_bid_01_qty,old_bid_02_qty,old_bid_03_qty,old_bid_04_qty,old_bid_05_qty,old_bid_06_qty,old_bid_07_qty,old_bid_08_qty,old_bid_09_qty,old_bid_10_qty,old_bid_11_qty,old_ask_01_price,old_ask_02_price,old_ask_03_price,old_ask_04_price,old_ask_05_price,old_ask_06_price,old_ask_07_price,old_ask_08_price,old_ask_09_price,old_ask_10_price,old_ask_11_price,old_ask_01_qty,old_ask_02_qty,old_ask_03_qty,old_ask_04_qty,old_ask_05_qty,old_ask_06_qty,old_ask_07_qty,old_ask_08_qty,old_ask_09_qty,old_ask_10_qty,old_ask_11_qty
1577371052698184863,20191226143732698184863,20191226,388.0,387.75,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,125,124,187,143,393,175,122,198,152,80,154,388.25,388.5,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,48,312,159,305,170,392,199,384,186,112,116,1577371052698184863,20191226,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,385.0,384.75,5,65,1,68,55,198,221,77,114,641,41,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,391.5,27,7,26,86,278,66,1390,58,1100,68,94
1577371063583956361,20191226143743583956361,20191226,388.0,387.75,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,61,126,287,143,293,175,122,198,152,80,154,388.25,388.5,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,81,152,281,391,260,482,289,384,186,112,116,1577371063583956361,20191226,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,385.0,384.75,5,65,1,68,55,198,221,77,114,641,41,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,391.5,27,7,26,86,278,66,1390,58,1100,68,94
1577371071229009003,20191226143751229009003,20191226,388.0,387.75,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,275,127,295,142,293,175,122,198,152,80,154,388.25,388.5,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,57,152,281,391,260,482,289,474,186,112,116,1577371071229009003,20191226,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,385.0,384.75,5,65,1,68,55,198,221,77,114,641,41,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,391.5,27,7,26,86,278,66,1390,58,1100,68,94
1577371080953547023,20191226143800953547023,20191226,388.0,387.75,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,282,137,295,142,293,175,122,210,152,92,154,388.25,388.5,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,44,156,281,391,260,482,289,486,186,124,116,1577371080953547023,20191226,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,385.0,384.75,5,65,1,68,55,198,221,77,114,641,41,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,391.5,27,7,26,86,278,66,1390,58,1100,68,94
1577371092970281765,20191226143812970281765,20191226,388.0,387.75,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,115,136,294,142,293,175,122,210,152,93,154,388.25,388.5,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,84,155,281,391,260,482,289,490,186,124,116,1577371092970281765,20191226,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,385.0,384.75,5,65,1,68,55,198,221,77,114,641,41,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,391.5,27,7,26,86,278,66,1390,58,1100,68,94
1577371101031068013,20191226143821031068013,20191226,388.0,387.75,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,58,135,294,142,293,175,122,210,152,93,154,388.25,388.5,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,92,155,281,392,260,482,289,490,186,124,116,1577371101031068013,20191226,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,385.0,384.75,5,65,1,68,55,198,221,77,114,641,41,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,391.5,27,7,26,86,278,66,1390,58,1100,68,94
1577371112129162125,20191226143832129162125,20191226,387.75,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,237,275,132,293,175,122,210,152,93,155,94,388.0,388.25,388.5,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,8,154,180,301,391,260,482,289,490,186,124,1577371112129162125,20191226,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,385.0,384.75,5,65,1,68,55,198,221,77,114,641,41,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,391.5,27,7,26,86,278,66,1390,58,1100,68,94
1577371128967853427,20191226143848967853427,20191226,388.0,387.75,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,116,131,314,146,292,174,122,210,154,93,155,388.25,388.5,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,57,161,281,391,260,448,288,490,186,126,116,1577371128967853427,20191226,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,385.0,384.75,5,65,1,68,55,198,221,77,114,641,41,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,391.5,27,7,26,86,278,66,1390,58,1100,68,94
1577371138817643695,20191226143858817643695,20191226,388.0,387.75,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,195,130,314,146,292,174,122,210,154,93,155,388.25,388.5,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,27,258,261,386,260,448,288,490,186,126,116,1577371138817643695,20191226,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,385.0,384.75,5,65,1,68,55,198,221,77,114,641,41,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,391.5,27,7,26,86,278,66,1390,58,1100,68,94
1577371143069505713,20191226143903069505713,20191226,388.0,387.75,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,48,139,315,146,292,174,122,210,154,93,155,388.25,388.5,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,51,177,283,386,260,448,288,490,186,126,116,1577371143069505713,20191226,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,385.0,384.75,5,65,1,68,55,198,221,77,114,641,41,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,391.5,27,7,26,86,278,66,1390,58,1100,68,94
