date,open,settlement,high_trade,low_trade,volume,open_interest,high_bid,low_ask
20190903,,5348.0,,5246.0,129958.0,285651.0,,5247.0
20190904,5353.0,5580.0,5607.0,5335.0,110806.0,282570.0,5606.0,5336.0
20190905,5546.0,5588.0,5727.0,5532.0,115926.0,282309.0,5726.0,5532.0
20190906,5574.0,5617.0,5656.0,5450.0,104632.0,280061.0,5656.0,5451.0
20190909,5640.0,5743.0,5773.0,5625.0,109901.0,281248.0,5773.0,5626.0
20190910,5760.0,5700.0,5832.0,5681.0,128212.0,280216.0,5832.0,5681.0
20190911,5745.0,5544.0,5788.0,5529.0,167997.0,276806.0,5788.0,5531.0
20190912,5560.0,5486.0,5604.0,5372.0,148074.0,276355.0,5603.0,5374.0
20190913,5487.0,5459.0,5537.0,5418.0,108760.0,281333.0,5537.0,5418.0
20190916,5904.0,6202.0,6274.0,5819.0,560339.0,279474.0,6275.0,5820.0
20190917,6100.0,5857.0,6175.0,5771.0,357567.0,278467.0,6174.0,5772.0
20190918,5806.0,5762.0,5875.0,5714.0,180935.0,276953.0,5874.0,5714.0
20190919,5775.0,5791.0,5909.0,5763.0,183547.0,277982.0,5908.0,5764.0
20190920,5837.0,5784.0,5895.0,5768.0,127167.0,280146.0,5894.0,5768.0
